"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"ACL";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACL1";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACL2";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACL3";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACL4";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACL5";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACN";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACN1";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACN2";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACN3";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACN4";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"ACN5";"PIN2F061.080";"PIN2F061.080";"F061.080";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"C1";"100nF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";
"C11";"68nF";"C-EU150-054X183";"C150-054X183";"CAPACITOR, European symbol";"";"";"";"";
"C21";"68nF";"C-EU150-054X183";"C150-054X183";"CAPACITOR, European symbol";"";"";"";"";
"C31";"68nF";"C-EU150-054X183";"C150-054X183";"CAPACITOR, European symbol";"";"";"";"";
"C41";"68nF";"C-EU150-054X183";"C150-054X183";"CAPACITOR, European symbol";"";"";"";"";
"C51";"68nF";"C-EU150-054X183";"C150-054X183";"CAPACITOR, European symbol";"";"";"";"";
"FUSE1";"10A";"FUSESH22,5";"SH22,5";"Fuse";"";"";"unknown";"unknown";
"FUSE2";"10A";"FUSESH22,5";"SH22,5";"Fuse";"";"";"unknown";"unknown";
"FUSE3";"10A";"FUSESH22,5";"SH22,5";"Fuse";"";"";"unknown";"unknown";
"FUSE4";"10A";"FUSESH22,5";"SH22,5";"Fuse";"";"";"unknown";"unknown";
